 
 Imaginary Time Propagation
 --------------------------
 
               Imag. time (a.u.)               < psi_i | psi_i >               < psi_i | psi_0 >                Energy (hartree)
              0.0000000000000000              0.9999999999999998              0.9999999999999998             -0.5475569377208565
              0.1000000000000000              1.0000000000000002              0.9404224876514169             -3.0391296051831738
              0.2000000000000000              0.9999999999999998              0.8738749275279083             -3.6016124066109612
              0.3000000000000001              0.9999999999999999              0.8386686727505215             -3.7177487347971416
              0.4000000000000002              0.9999999999999999              0.8212054510928537             -3.7531181687756003
              0.5000000000000002              0.9999999999999999              0.8116548670309519             -3.7694997209339314
              0.6000000000000003              1.0000000000000000              0.8056650337141575             -3.7788164348510422
              0.7000000000000004              0.9999999999999996              0.8014555482760501             -3.7845274917184133
              0.8000000000000005              1.0000000000000000              0.7982772665019856             -3.7881486816330980
              0.9000000000000006              1.0000000000000002              0.7957828700811302             -3.7904983081447106
              1.0000000000000007              1.0000000000000002              0.7937860885116710             -3.7920538035309246
              1.1000000000000008              1.0000000000000000              0.7921706977400498             -3.7931032781059688
              1.2000000000000008              0.9999999999999998              0.7908553630277871             -3.7938243787113244
              1.3000000000000009              1.0000000000000000              0.7897791560404529             -3.7943286260263935
              1.4000000000000010              1.0000000000000002              0.7888948329107407             -3.7946872038576291
              1.5000000000000011              1.0000000000000002              0.7881651640176046             -3.7949462820305104
              1.6000000000000012              1.0000000000000002              0.7875605882257899             -3.7951362784411971
              1.7000000000000013              1.0000000000000004              0.7870575392155491             -3.7952775446610940
              1.8000000000000014              0.9999999999999997              0.7866371782227422             -3.7953839066922099
              1.9000000000000015              1.0000000000000002              0.7862844084938529             -3.7954649003480765
              2.0000000000000013              1.0000000000000000              0.7859871008091228             -3.7955272012216890
              2.0999999999999992              1.0000000000000002              0.7857354827612928             -3.7955755512661620
              2.1999999999999971              0.9999999999999999              0.7855216566987510             -3.7956133668639724
              2.2999999999999949              1.0000000000000002              0.7853392190801448             -3.7956431429565889
              2.3999999999999928              1.0000000000000000              0.7851829597447046             -3.7956667250693146
              2.4999999999999907              1.0000000000000002              0.7850486241005340             -3.7956854947748608
              2.5999999999999885              0.9999999999999999              0.7849327248146858             -3.7957004977822795
              2.6999999999999864              1.0000000000000002              0.7848323924441132             -3.7957125335536128
              2.7999999999999843              1.0000000000000002              0.7847452567127526             -3.7957222188183288
              2.8999999999999821              1.0000000000000000              0.7846693519292811             -3.7957300331658361
              2.9999999999999800              1.0000000000000000              0.7846030414466370             -3.7957363521831837
              3.0999999999999779              0.9999999999999999              0.7845449571666567             -3.7957414718311884
              3.1999999999999758              1.0000000000000000              0.7844939509552111             -3.7957456265815717
              3.2999999999999736              1.0000000000000000              0.7844490555067307             -3.7957490030574284
              3.3999999999999715              1.0000000000000002              0.7844094527230963             -3.7957517503943246
              3.4999999999999694              1.0000000000000002              0.7843744480829251             -3.7957539881822866
              3.5999999999999672              1.0000000000000000              0.7843434497987747             -3.7957558126038151
              3.6999999999999651              0.9999999999999997              0.7843159518114795             -3.7957573012127543
              3.7999999999999630              1.0000000000000002              0.7842915198682141             -3.7957585166794039
              3.8999999999999608              1.0000000000000000              0.7842697800859020             -3.7957595097424628
              3.9999999999999587              0.9999999999999998              0.7842504095235705             -3.7957603215475881
              4.0999999999999570              1.0000000000000000              0.7842331283834439             -3.7957609855081795
              4.1999999999999549              0.9999999999999998              0.7842176935365612             -3.7957615287916902
              4.2999999999999527              1.0000000000000002              0.7842038931288764             -3.7957619735107748
              4.3999999999999506              0.9999999999999998              0.7841915420715478             -3.7957623376806131
              4.4999999999999485              0.9999999999999998              0.7841804782571212             -3.7957626359902630
              4.5999999999999464              1.0000000000000000              0.7841705593735684             -3.7957628804254693
              4.6999999999999442              1.0000000000000002              0.7841616602123627             -3.7957630807724874
              4.7999999999999421              1.0000000000000002              0.7841536703861458             -3.7957632450263254
              4.8999999999999400              0.9999999999999998              0.7841464923871124             -3.7957633797220001
              4.9999999999999378              0.9999999999999998              0.7841400399297657             -3.7957634902036519
              5.0999999999999357              1.0000000000000002              0.7841342365318171             -3.7957635808434080
              5.1999999999999336              0.9999999999999998              0.7841290142951812             -3.7957636552195537
              5.2999999999999314              1.0000000000000004              0.7841243128556612             -3.7957637162617237
              5.3999999999999293              1.0000000000000000              0.7841200784753128             -3.7957637663692543
              5.4999999999999272              0.9999999999999997              0.7841162632558916             -3.7957638075077780
              5.5999999999999250              1.0000000000000000              0.7841128244553700             -3.7957638412880566
              5.6999999999999229              1.0000000000000004              0.7841097238924910             -3.7957638690303996
              5.7999999999999208              0.9999999999999996              0.7841069274267269             -3.7957638918172947
              5.8999999999999186              1.0000000000000004              0.7841044045030389             -3.7957639105364667
              5.9999999999999165              1.0000000000000000              0.7841021277524687             -3.7957639259160505
              6.0999999999999144              0.9999999999999999              0.7841000726409936             -3.7957639385534137
              6.1799999999999127              0.9999999999999999              0.7840985732645798             -3.7957639470214009
 
 Summary of Imaginary time propagation
 -------------------------------------
ndim    =               16
dt      =       0.01000000
nstep   =              618
E_conv  =       0.00000000
Ei      =      -3.79576395
 
