 
    Real Time Propagation   
 ---------------------------
 
                     time (a.u.)               < psi_i | psi_i >               < psi_i | psi_0 >                Energy (hartree)
              0.0000000000000000              1.0000000000000031              1.0000000000000062             -4.9431483114859969
              0.1000000000000018              1.0000000000000018              0.9885294146112494             -4.9431483114859978
              0.1999999999999943              1.0000000000000016              0.9599330680232920             -4.9431483114859969
              0.2999999999999833              1.0000000000000024              0.9240352045302570             -4.9431483114860058
              0.3999999999999723              1.0000000000000018              0.8866965649284908             -4.9431483114860013
              0.4999999999999613              1.0000000000000040              0.8514865061436828             -4.9431483114860111
              0.5999999999999502              1.0000000000000036              0.8209651696471403             -4.9431483114860093
              0.6999999999999392              1.0000000000000044              0.7960821387729680             -4.9431483114860129
              0.7999999999999282              1.0000000000000031              0.7765477060093738             -4.9431483114860084
              0.8999999999999172              1.0000000000000024              0.7611604902946463             -4.9431483114860040
              0.9999999999999062              1.0000000000000009              0.7484254231580254             -4.9431483114859951
              1.0999999999998953              1.0000000000000016              0.7373144314415710             -4.9431483114860013
              1.1999999999998843              0.9999999999999999              0.7273603074002413             -4.9431483114859898
              1.2999999999998733              1.0000000000000004              0.7183677845436791             -4.9431483114859933
              1.3999999999998622              0.9999999999999986              0.7103495971750593             -4.9431483114859809
              1.4999999999998512              0.9999999999999970              0.7036667001441654             -4.9431483114859747
              1.5999999999998402              0.9999999999999947              0.6989224288728144             -4.9431483114859596
              1.6999999999998292              0.9999999999999943              0.6965978786366822             -4.9431483114859587
              1.7999999999998182              0.9999999999999944              0.6968724875551571             -4.9431483114859587
              1.8999999999998072              0.9999999999999929              0.6997567573530094             -4.9431483114859534
              1.9999999999997962              0.9999999999999933              0.7051881639438947             -4.9431483114859596
              2.1000000000000072              0.9999999999999969              0.7129379518781620             -4.9431483114859738
              2.2000000000002182              0.9999999999999954              0.7225905649377226             -4.9431483114859667
              2.3000000000004293              0.9999999999999970              0.7337190228381030             -4.9431483114859782
              2.4000000000006403              0.9999999999999999              0.7459992999818101             -4.9431483114859880
              2.5000000000008513              0.9999999999999989              0.7591293323032179             -4.9431483114859844
              2.6000000000010624              1.0000000000000013              0.7727789577157459             -4.9431483114860004
              2.7000000000012734              1.0000000000000013              0.7866846124159289             -4.9431483114859933
